id,stop_name,location
140400010096,机务段,"113.121618,36.294225"
140400010096,张庄南、鑫佳馨防盗门厂,"113.121262,36.290625"
140400010096,水泥厂,"113.119679,36.282882"
140400010096,李村沟,"113.120096,36.276755"
140400010096,李村,"113.12161,36.271482"
140400010096,郭村,"113.121433,36.263321"
140400010096,陈村,"113.121343,36.260067"
140400010096,果园,"113.12125,36.254382"
140400010096,92925部队,"113.121424,36.249782"
140400010096,三局路口,"113.121432,36.245687"
140400010096,小辛庄,"113.121098,36.243614"
140400010096,民航路口,"113.12176,36.239851"
140400010096,潞州司法局,"113.122616,36.236728"
140400010096,北环路口,"113.126379,36.227745"
140400010096,英雄北路口,"113.129006,36.225052"
140400010096,纬五路西口,"113.126969,36.22052"
140400010096,纬五路口,"113.125735,36.217778"
140400010096,中级法院,"113.123962,36.21376"
140400010096,保宁门街口,"113.122565,36.210573"
140400010096,公交集团,"113.120867,36.206668"
140400010096,桥北,"113.118294,36.200822"
140400010096,市政府,"113.115356,36.19409"
140400010096,英雄台,"113.111952,36.186258"
140400010096,城隍庙,"113.115707,36.181208"
140400010096,延安路口,"113.119875,36.179914"
140400010096,市民政局,"113.122982,36.178948"
140400010096,潞阳门路口,"113.12556,36.178145"
140400010096,商校巷西,"113.128141,36.177327"
140400010096,商校巷东,"113.131885,36.176173"
140400010096,东关枢纽,"113.134089,36.175665"
140400010095,东关枢纽,"113.133582,36.175764"
140400010095,商校巷东,"113.131415,36.176367"
140400010095,商校巷西,"113.128734,36.177217"
140400010095,潞阳门路口,"113.125848,36.178117"
140400010095,市民政局,"113.123564,36.178825"
140400010095,延安路口,"113.120114,36.179896"
140400010095,城隍庙,"113.1164,36.181014"
140400010095,长兴路口、东南购物,"113.112525,36.182217"
140400010095,英雄台,"113.112752,36.187969"
140400010095,市政府,"113.114857,36.192734"
140400010095,桥北,"113.118177,36.200269"
140400010095,公交集团,"113.120877,36.206463"
140400010095,保宁门街口,"113.122713,36.210673"
140400010095,中级法院,"113.12372,36.212986"
140400010095,纬五路口,"113.125673,36.217418"
140400010095,纬五路西口,"113.127144,36.220688"
140400010095,英雄北路口,"113.12928,36.225421"
140400010095,北环路口,"113.126435,36.227811"
140400010095,潞州司法局,"113.122435,36.237383"
140400010095,民航路口,"113.121771,36.239809"
140400010095,小辛庄,"113.121089,36.243568"
140400010095,三局路口,"113.121496,36.246106"
140400010095,92925部队,"113.121363,36.250138"
140400010095,果园,"113.121267,36.254614"
140400010095,陈村,"113.12135,36.260159"
140400010095,郭村,"113.121437,36.263507"
140400010095,李村,"113.121604,36.271208"
140400010095,李村沟,"113.120013,36.276984"
140400010095,水泥厂,"113.119691,36.282986"
140400010095,张庄南、鑫佳馨防盗门厂,"113.121235,36.290451"
140400010095,机务段,"113.121619,36.294284"
140400010095,张庄,"113.121871,36.299271"
140400010095,交警五队,"113.121784,36.302205"
140400010095,长北货场,"113.121676,36.305669"
140400010095,马厂新区,"113.120827,36.309436"
140400010095,潞州三中,"113.116699,36.310057"
140400010095,马厂卫生院,"113.111408,36.310301"
140400010095,马厂法院,"113.107574,36.310471"
140400010095,和谐花园,"113.097452,36.310753"
140400010095,漳电口,"113.097529,36.311793"
140400010095,高庄,"113.100082,36.317258"
140400010095,合成口,"113.104583,36.325809"
140400010095,亚瑞公司,"113.10514,36.326794"
140400010095,铁运公司,"113.09835,36.358688"
140400010095,魏村,"113.094177,36.358452"
140400010095,东旺,"113.082154,36.358075"
140400010095,长钢厂区北口(招呼站),"113.0713,36.357969"
140400010095,西旺,"113.068368,36.358451"
140400010095,故漳口,"113.061962,36.359401"
140400010095,西沟(招呼站),"113.057395,36.36017"
140400010095,长钢,"113.051682,36.361759"
900000184146,柏子村,"112.144544,36.547275"
900000184146,水泉坪村,"112.158782,36.541305"
900000184146,康伟集团,"112.160304,36.53935"
900000184146,王庄村,"112.171453,36.534831"
900000184146,畅村,"112.183878,36.518534"
900000184146,太岳煤矿,"112.188029,36.514966"
900000184146,好村,"112.197483,36.509641"
900000184146,郡家沟村,"112.207205,36.496062"
900000184146,蔚村,"112.213485,36.487218"
900000184146,渣滩村,"112.225172,36.47192"
900000184146,北峪村,"112.235806,36.455509"
900000184146,中峪村,"112.243473,36.450238"
900000184146,南峪村,"112.247019,36.443237"
900000184146,白家滩村,"112.261828,36.430013"
900000184146,西王勇村,"112.272083,36.418181"
900000184146,东王勇村,"112.278688,36.412093"
900000184146,龙头村,"112.293207,36.400574"
900000184146,南石村,"112.313779,36.403393"
900000184146,北石村,"112.319144,36.422686"
900000184146,三友村,"112.329799,36.443067"
900000184146,赵寨村,"112.334701,36.447216"
900000184146,河神庙村,"112.337965,36.459538"
900000184146,曹家园村南,"112.341564,36.46489"
900000184146,曹家园村北,"112.341873,36.473195"
900000184146,观音坪,"112.341467,36.479036"
900000184145,观音坪,"112.341508,36.478981"
900000184145,曹家园村北,"112.341882,36.473187"
900000184145,曹家园村南,"112.342466,36.465764"
900000184145,河神庙,"112.338045,36.459459"
900000184145,赵寨村,"112.334424,36.446642"
900000184145,三友村,"112.329682,36.443063"
900000184145,北石村,"112.319126,36.42261"
900000184145,南石村,"112.314113,36.404031"
900000184145,龙头村,"112.293612,36.400584"
900000184145,东王勇村,"112.278626,36.412124"
900000184145,西王勇村,"112.272279,36.417875"
900000184145,白家滩村,"112.262398,36.43007"
900000184145,南峪村,"112.247014,36.443307"
900000184145,中峪村,"112.243427,36.450298"
900000184145,北峪村,"112.235798,36.45559"
900000184145,渣滩村,"112.224855,36.472222"
900000184145,蔚村,"112.21354,36.487408"
900000184145,郡家沟村,"112.207189,36.496133"
900000184145,好村,"112.197758,36.509486"
900000184145,太岳煤矿,"112.188413,36.514751"
900000184145,畅村,"112.18383,36.518581"
900000184145,王庄村,"112.171117,36.534898"
900000184145,康伟集团,"112.160188,36.539496"
900000184145,水泉坪村,"112.158765,36.541326"
900000184145,柏子村,"112.14456,36.547263"
900000140074,久安公交公司,"113.221441,36.098346"
900000140074,公交公司,"113.219746,36.098805"
900000140074,老东河村,"113.215986,36.103667"
900000140074,新一中,"113.218255,36.107508"
900000140074,修善村,"113.221665,36.113319"
900000140074,坛上村,"113.218287,36.124572"
900000140074,污水处理厂,"113.214406,36.125816"
900000140074,宜盛苑,"113.21275,36.122483"
900000140074,红旗小学,"113.210694,36.118507"
900000140074,米兰装饰城,"113.209935,36.117002"
900000140074,壶关宾馆,"113.206746,36.114734"
900000140074,博雅西苑,"113.205661,36.112146"
900000140074,锦绣花园,"113.204671,36.10976"
900000140074,人民医院,"113.203815,36.107884"
900000140074,保险公司,"113.204051,36.105873"
900000140074,运管所,"113.203275,36.104455"
900000140074,中瀛酒店,"113.20191,36.101919"
900000140074,南洋中学,"113.203488,36.10012"
900000140074,检察院,"113.207413,36.098659"
900000140074,文体中心,"113.210777,36.09497"
900000140074,县财政局,"113.208672,36.0929"
900000140074,政务大厅,"113.206444,36.093659"
900000140074,文惠苑,"113.202717,36.094933"
900000140074,电力公司,"113.19847,36.095568"
900000140074,华康医院,"113.19758,36.093923"
900000140074,汽车站,"113.196316,36.090881"
900000140074,交警大队,"113.196141,36.087378"
900000140074,如意花苑,"113.195873,36.080823"
900000140074,招呼站,"113.195693,36.078266"
900000140074,小山南,"113.185973,36.079051"
900000140071,小山南,"113.185391,36.079084"
900000140071,供热公司,"113.196211,36.087023"
900000140071,永兴商贸,"113.196311,36.089306"
900000140071,汽车站,"113.196432,36.090977"
900000140071,黄金海岸,"113.197639,36.09388"
900000140071,邮电局,"113.198542,36.095557"
900000140071,文惠苑,"113.203331,36.094667"
900000140071,政务大厅,"113.206368,36.093627"
900000140071,玉壶广场,"113.210634,36.097516"
900000140071,检察院,"113.206607,36.099015"
900000140071,南洋中学,"113.204047,36.099962"
900000140071,华丽港超市,"113.201972,36.101893"
900000140071,南关装饰城,"113.203695,36.105077"
900000140071,人民医院,"113.203698,36.107469"
900000140071,水利局,"113.204581,36.109392"
900000140071,金豪世纪,"113.205408,36.111292"
900000140071,博雅西苑,"113.205803,36.112316"
900000140071,体育场,"113.208081,36.113087"
900000140071,文化局,"113.209385,36.115771"
900000140071,红旗小学,"113.21089,36.118737"
