id,stop_name,location,longitude,latitude,wgs84_longitude,wgs84_latitude
900000153412,曙光商业街,"112.898542,36.309735",112.898542,36.309735,112.89238607066287,36.30990337927841
900000153412,区财政局,"112.894664,36.310867",112.894664,36.310867,112.8885082400005,36.311034189425094
900000153412,区交通局,"112.89109,36.311455",112.89109,36.311455,112.88493375364072,36.31162067571001
900000153412,区公路段,"112.889332,36.312326",112.889332,36.312326,112.88317521251564,36.31249055590376
900000153412,长兴客运站,"112.889874,36.314436",112.889874,36.314436,112.88371713497887,36.31460016487556
900000153412,区政府,"112.892191,36.315338",112.892191,36.315338,112.88603452740942,36.31550291722806
900000153412,区教育局,"112.896545,36.314598",112.896545,36.314598,112.8903887873019,36.314764499922916
900000153412,星光小区,"112.900794,36.313873",112.900794,36.313873,112.89463707990592,36.31404026825198
900000153412,麟绎东街口(招呼站),"112.903178,36.313477",112.903178,36.313477,112.89702025711748,36.31364435251391
900000153412,东外环路口(招呼站),"112.903246,36.31074",112.903246,36.31074,112.8970885281482,36.310908208173274
900000153412,久安路口,"112.904629,36.308631",112.904629,36.308631,112.89847111022297,36.30879972535683
900000153412,水泉,"112.912209,36.304922",112.912209,36.304922,112.90604608811775,36.305089585006336
900000153412,西藕,"112.914327,36.303631",112.914327,36.303631,112.9081621429814,36.303797882193706
900000153412,中藕,"112.920126,36.300139",112.920126,36.300139,112.91395453487118,36.30030290460544
900000153412,东藕,"112.926751,36.296281",112.926751,36.296281,112.92056969416993,36.2964396086828
900000153412,宋庄,"112.934223,36.291936",112.934223,36.291936,112.92802774100247,36.29208630888791
900000153412,北宋,"112.949041,36.280825",112.949041,36.280825,112.94280992401859,36.28095271260492
900000153412,区污水厂(招呼站),"112.962134,36.275448",112.962134,36.275448,112.9558625682888,36.27554772044567
900000153412,东鸣水(招呼站),"112.963832,36.274946",112.963832,36.274946,112.95755482933595,36.275041638567934
900000153412,王公庄(招呼站),"112.979674,36.270603",112.979674,36.270603,112.97333904133326,36.270657015672974
900000153412,西史,"112.999194,36.265234",112.999194,36.265234,112.99278135096009,36.26523137915662
900000153412,屯留口,"113.008717,36.262447",113.008717,36.262447,113.0022659348617,36.262416315894754
900000153412,东史村,"113.010167,36.250472",113.010167,36.250472,113.00371144849758,36.25044029871247
900000153412,常珍村,"113.013003,36.244964",113.013003,36.244964,113.0065367125235,36.244925345059485
900000153412,常金村,"113.01957,36.2382",113.01957,36.2382,113.0130786369945,36.238143944184486
900000153412,变电站,"113.023089,36.235603",113.023089,36.235603,113.01658442481737,36.23553760474312
900000153412,互通桥,"113.040373,36.223819",113.040373,36.223819,113.03380840526387,36.22371138725257
900000153412,滨湖路口,"113.06638,36.217548",113.06638,36.217548,113.05974629158996,36.21739178173567
900000153412,西二环路口,"113.071311,36.216354",113.071311,36.216354,113.06466798543585,36.216191602742974
900000153412,行政审批服务中心,"113.078186,36.214689",113.078186,36.214689,113.07153222920707,36.2145197619734
900000153412,体育路口,"113.082192,36.213711",113.082192,36.213711,113.07553317715872,36.21353874904393
900000153412,太西枢纽,"113.089304,36.211993",113.089304,36.211993,113.08263843143027,36.21181717428421
900000153412,保宁门西街口,"113.092948,36.215139",113.092948,36.215139,113.0862796100585,36.21496119307749
900000153412,保宁门街、太行路口,"113.097224,36.215758",113.097224,36.215758,113.09055360011867,36.21557940931406
900000153412,高新工业园,"113.102153,36.215009",113.102153,36.215009,113.09548169967701,36.21483087746711
900000153412,化家庄南,"113.106629,36.214077",113.106629,36.214077,113.09995804215008,36.21390026964717
900000153412,潞州区财政局,"113.111453,36.213236",113.111453,36.213236,113.10478356024012,36.21306165928063
900000153412,防爆巷西,"113.116853,36.212519",113.116853,36.212519,113.11018661221243,36.21234837486634
900000153412,防爆巷东,"113.120356,36.212068",113.120356,36.212068,113.11369233297555,36.211900372328074
900000153412,中级法院,"113.12372,36.212986",113.12372,36.212986,113.11705931195307,36.21282132100589
900000153412,纬五路口,"113.125673,36.217418",113.125673,36.217418,113.11901381463638,36.2172542094229
900000153412,纬五路西口,"113.127144,36.220688",113.127144,36.220688,113.12048606007542,36.22052497385234
900000153412,英雄北路口,"113.12928,36.225421",113.12928,36.225421,113.12262402710368,36.22525920266717
900000153412,长潞路口,"113.136497,36.22566",113.136497,36.22566,113.12985078453164,36.225507475875894
900000153412,汽贸城,"113.149443,36.222976",113.149443,36.222976,113.14281883756324,36.222844218199924
900000153412,老顶山街道办事处,"113.156248,36.222739",113.156248,36.222739,113.14963692853003,36.2226190853828
900000153412,高铁东站,"113.164206,36.226902",113.164206,36.226902,113.15761065306931,36.22679550463537
900000153411,高铁东站,"113.164296,36.22686",113.164296,36.22686,113.15770084518614,36.22675368268582
900000153411,汽贸城,"113.149527,36.223047",113.149527,36.223047,113.14290298485004,36.22291534097647
900000153411,长潞路口,"113.136619,36.225734",113.136619,36.225734,113.12997295731313,36.22558162688227
900000153411,英雄北路口,"113.129006,36.225052",113.129006,36.225052,113.12234973696832,36.22488997529664
900000153411,纬五路西口,"113.126969,36.22052",113.126969,36.22052,113.12031088158956,36.220356822140566
900000153411,纬五路口,"113.125681,36.217656",113.125681,36.217656,113.11902179561574,36.21749215657605
900000153411,中级法院,"113.123962,36.21376",113.123962,36.21376,113.11730146323065,36.21359536698569
900000153411,防爆巷东,"113.120485,36.212236",113.120485,36.212236,113.11382142250373,36.21206844409516
900000153411,防爆巷西,"113.11697,36.212691",113.11697,36.212691,113.11030367213658,36.212520419806246
900000153411,潞州区财政局,"113.111519,36.213412",113.111519,36.213412,113.10484956743059,36.21323765049512
